STEEL AUTHORITY OF INDIA LIMITED,elite
STERLITE INDUSTRIES (INDIA) LIMITED,elite
STERLITE TECHNOLOGIES LIMITED,elite
SUN MICROSYSTEMS INDIA PRIVATE LIMITED,elite
"SUN PHARMA HOLDINGS (PREVIOUSLY KNOWN AS NOGAD
HOLDINGS)",elite
SUN PHARMA LABORATORIES LIMITED,elite
SUN PHARMACEUTICAL INDUSTRIES LIMITED,elite
SUN TV NETWORK LIMITED,elite
SUNDARAM FINANCE LIMITED,elite
SUNDRAM FASTENERS LIMITED,elite
SYMANTEC SOFTWARE INDIA PRIVATE LIMITED,elite
SYNDICATE BANK,elite
TAJ AIR,elite
TAL MANUFACTURING SOLUTIONS,elite
TARO PHARMACEUTICAL INDUSTRIES LIMITED,elite
TAS-AGT SYSTEMS,elite
TATA ADVANCED MATERIALS,elite
TATA ADVANCED SYSTEMS,elite
TATA AFRICA HOLDINGS,elite
TATA AG,elite
TATA ASSET MANAGEMENT,elite
TATA AUTOCOMP SYSTEMS,elite
TATA BLUESCOPE STEEL,elite
TATA BUSINESS EXCELLENCE GROUP,elite
TATA BUSINESS SUPPORT SERVICES,elite
TATA CAPITAL,elite
TATA CHEMICALS,elite
TATA CHEMICALS LIMITED,elite
TATA CLASSEDGE,elite
TATA COMMUNICATIONS,elite
"TATA COMMUNICATIONS LIMITED (FORMERLY VIDESH SANCHAR
NIGAM LIMITED)",elite
TATA CONSULTANCY SERVICES LIMITED,elite
TATA CONSULTING ENGINEERS,elite
TATA CUMMINS,elite
TATA DAEWOO COMMERCIAL VEHICLE COMPANY,elite
NAME OF THE COMPANY,CATEGORY
TATA ELXSI,elite
TATA GLOBAL BEVERAGES,elite
TATA GLOBAL BEVERAGES LIMITED,elite
TATA HITACHI CONSTRUCTION MACHINERY,elite
TATA HITACHI CONSTRUCTION MACHINERY COMPANY LIMITED,elite
TATA HOUSING DEVELOPMENT COMPANY,elite
TATA INDUSTRIAL SERVICES,elite
TATA INDUSTRIES,elite
TATA INTERNATIONAL,elite
TATA INTERNATIONAL AG,elite
TATA INVESTMENT CORPORATION,elite
TATA LIMITED,elite
TATA METALIKS,elite
TATA MOTORS EUROPEAN TECHNICAL CENTRE,elite
TATA MOTORS LIMITED,elite
TATA NYK,elite
TATA PETRODYNE,elite
TATA PIGMENTS,elite
THE TATA POWER COMPANY LIMITED,elite
TATA POWER SOLAR SYSTEMS LIMITED,elite
TATA POWER TRADING COMPANY LIMITED,elite
TATA PROJECTS,elite
TATA REALTY AND INFRASTRUCTURE,elite
TATA SERVICES,elite
TATA SIA AIRLINES LIMITED,elite
TATA SKY,elite
TATA SONS,elite
TATA SPONGE IRON,elite
TATA STEEL INTERNATIONAL INDIA LIMITED,elite
TATA STEEL LIMITED(FORMERLY TATA IRON & STEEL CO LIMITED),elite
TATA STEEL PROCESSING & DISTRIBUTION LIMITED,elite
TATA STRATEGIC MANAGEMENT GROUP,elite
TATA TECHNOLOGIES,elite
TATANET,elite
TECH MAHINDRA LIMITED,elite
TELANGANA STATE POWER GENERATION CORPORATION LIMITED,elite
TEXAS INSTRUMENTS (INDIA) PRIVATE LIMITED,elite
THDC INDIA LIMITED,elite
THE BANK OF MAHARASHTRA,elite
THE COTTON CORPORATION OF INDIA LIMITED,elite
THE FEDERAL BANK LIMITED,elite
THE GREAT EASTERN SHIPPING COMPANY LIMITED,elite
THE KARNATAKA BANK LIMITED,elite
THE KARUR VYSYA BANK LIMITED,elite
THE RAMCO CEMENTS LIMITED,elite
THE SINGARENI COLLIERIES COMPANY LIMITED,elite
THE SUPREME INDUSTRIES LIMITED,elite
THE TINPLATE COMPANY OF INDIA,elite
THERMAX (INDIA) PRIVATE LIMITED,elite
TITAN COMPANY LIMITED,elite
TKM GLOBAL LOGISTICS,elite
TM INTERNATIONAL LOGISTICS,elite
TORRENT PHARMACEUTICALS LIMITED,elite
TORRENT POWER LIMITED,elite
TRENT,elite
TRF,elite
TRL KROSAKI REFRACTORIES,elite
TUBE INVESTMENTS OF INDIA LIMITED,elite
TV SUNDRAM IYENGAR & SONS LIMITED,elite
TV SUNDRAM IYENGER & SONS PRIVATE. LIMITED,elite
NAME OF THE COMPANY,CATEGORY
TVS MOTOR COMPANY LIMITED,elite
UCO BANK,elite
ULTRATECH CEMENT LIMITED,elite
UNION BANK OF INDIA,elite
UNITED BANK OF INDIA,elite
UNITED INDIA INSURANCE CO LIMITED,elite
"UNITED NATIONS BODIES SUCH AS UNICEF, UNESCO",elite
UPL LIMITED,elite
VARDHMAN TEXTILES LIMITED,elite
VEDANTA LIMITED,elite
VERIZON INDIA PRIVATE LIMITED,elite
VIDYUT INVESTMENTS LIMITED,elite
VIJAYA BANK LIMITED,elite
VIVANTA BY TAJ,elite
VOLTAS LIMITED,elite
WESTLAND,elite
WHIRLPOOL OF INDIA LIMITED,elite
WIPRO INFOTECH LIMITED,elite
"WIPRO LIMITED (ALSO WIPRO TECHNOLOGIES A BUSINESS DIVISION
OF WIPRO LIMITED)",elite
YAHOO SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED,elite
YES BANK LIMITED,elite
ZEE ENTERTAINMENT ENTERPRISES LIMITED,elite
ZUARI INDUSTRIES LIMITED,elite
ZYDUS CADILA,elite
"""INSTITUTE OF MARKETING & MANAGEMENT - BUSINESS SCHOOL""",preferred
"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF
INSTITUTIONS""",preferred
"(D.A.V. BOYS SENIOR SECONDARY SCHOOL,MOGAPPAIR)",preferred
"(TEACHING HOSPITAL) GENERAL HOSPITAL, UDAIPUR.",preferred
"“HIK“HA MANDAL’“ GOVINDRAM SEKSARIA COLLEGE OF
COMMERCE,WARDHA",preferred
“T. MARY’“ COLLEGE OF PHARMACY,preferred
“T.JOHN’“ COLLEGE OF ENGINEERING,preferred
“T.JUDE’“ POLYTECHNIC COLLEGE,preferred
1 TO 1 HELP.NET PRIVATE LIMITED,preferred
"122,GOVERNMENT POLYTECHNIC COLLEGE,DHARMAPURI",preferred
126-GOVERNMENT POLYTECHNIC COLLEGE,preferred
"151, BASE HOSPITAL,
C/O 99 A.P.O. (FOR 10 INTERNS).",preferred
NAME OF THE COMPANY,CATEGORY
"151, BASE HOSPITAL,
C/O 99, A.P.O.",preferred
"155, BASE HOSPITAL,
C/O 99 A.P.O.",preferred
"158, BASE HOSPITAL,
C/O 99 A.P.O.",preferred
"166, MILITARY HOSPITAL, C/O 56, A.P.O., (JAMMU).",preferred
168-GOVT POLYTECHNIC HOSADURGA,preferred
3 A COMPOSITES INDIA PRIVATE LIMITED,preferred
3 EME CENTRE(PM019),preferred
370 PALLAVAN POLYTECHNIC COLLEGE,preferred
3D PLM SOFTWARE SOLUTIONS LIMITED,preferred
3I INFOTECH BPO LIMITED,preferred
3I INFOTECH CONSULTANCY SERVICES LIMITED,preferred
3I INFOTECH TRUSTEESHIP SERVICES LIMITED,preferred
427-ANANDA MARGA POLYTECHNIC,preferred
4C SOLUTIONS PRIVATE LIMITED,preferred
515 BASE WORKSHOP,preferred
519 HIGHTECH POLYTECHNIC,preferred
"779,SAI JOTHI POLYTECHNIC COLLEGE",preferred
816 SHREE VENKATESHWARA HI TECH POLYTECHNIC COLLEGE,preferred
A & E INFORMATION SYSTEM PRIVATE LIMITED,preferred
A & M INSTITUTE OF COMPUTER & TECHNOLOGY,preferred
A & M INSTITUTE OF MANAGEMENT AND TECHNOLOGY,preferred
A AND M SIGNALLING SERVICES PRIVATE LIMITED,preferred
"A B SHETTY MEMORIAL INST OF DENTAL SC, MANGALORE",preferred
A C BAXI & COMPANY PRIVATE LIMITED,preferred
A K CAPITAL SERVICES LIMITED,preferred
A M C . ENGINEERING COLLEGE,preferred
A M K TECHNOLOGICAL POLYTECHNIC COLLEGE,preferred
A O SMITH INDIA WATER HEATING PRIVATE LIMITED,preferred
"A P GRAMMAR HIGH SCHOOL,HYDERABAD",preferred
A P S COLLEGE OF ENGINEERING,preferred
NAME OF THE COMPANY,CATEGORY
A R INSTITUTE OF MANAGEMENT & TECHNOLOGY,preferred
A S N PHARMACY COLLEGE,preferred
"A V COLLEGE OF ARTS,SCIENCE & COMMERCE",preferred
A V S COLLEGE OF TECHNOLOGY,preferred
A. J. INSTITUTE OF MANAGEMENT,preferred
A. P. SHAH INSTITUTE OF TECHNOLOGY,preferred
